iter	RMSE
952	0.05008114469
953	0.04987641297
954	0.0496725182
955	0.04946945695
956	0.04926722581
957	0.0490658214
958	0.04886524032
959	0.04866547922
960	0.04846653475
961	0.04826840356
962	0.04807108233
963	0.04787456775
964	0.04767885652
965	0.04748394535
966	0.04728983099
967	0.04709651016
968	0.04690397963
969	0.04671223617
970	0.04652127655
971	0.04633109757
972	0.04614169605
973	0.0459530688
974	0.04576521266
975	0.04557812447
976	0.0453918011
977	0.04520623942
978	0.04502143632
979	0.04483738869
980	0.04465409345
981	0.04447154752
982	0.04428974784
983	0.04410869135
984	0.04392837502
985	0.04374879583
986	0.04356995075
987	0.0433918368
988	0.04321445097
989	0.0430377903
990	0.04286185182
991	0.04268663257
992	0.04251212962
993	0.04233834004
994	0.04216526091
995	0.04199288932
996	0.04182122239
997	0.04165025724
998	0.04147999099
999	0.04131042079
