iter	Passed	Remaining
743	26813	9226
744	26841	9187
745	26869	9148
746	26896	9109
747	26923	9070
748	26951	9031
749	26984	8994
750	27012	8956
751	27040	8917
752	27069	8879
753	27098	8841
754	27125	8802
755	27151	8763
756	27183	8725
757	27215	8688
758	27241	8649
759	27266	8610
760	27294	8572
761	27322	8533
762	27351	8495
763	27377	8456
764	27406	8418
765	27435	8381
766	27467	8343
767	27494	8305
768	27521	8267
769	27551	8229
770	27584	8193
771	27613	8155
772	27649	8119
773	27676	8081
774	27698	8041
775	27731	8004
776	27756	7966
777	27785	7928
778	27817	7891
779	27850	7855
780	27879	7817
781	27907	7779
782	27934	7741
783	27965	7704
784	27994	7667
785	28023	7629
786	28054	7592
787	28091	7557
788	28125	7521
789	28160	7485
790	28203	7452
791	28240	7416
792	28277	7381
793	28305	7343
794	28343	7308
795	28371	7271
796	28398	7233
797	28442	7199
798	28477	7164
799	28507	7126
800	28535	7089
801	28563	7051
802	28595	7015
803	28636	6980
804	28664	6943
805	28693	6906
806	28725	6869
807	28755	6832
808	28782	6795
809	28809	6757
810	28839	6720
811	28876	6685
812	28909	6649
813	28938	6612
814	28967	6575
815	28994	6537
816	29036	6503
817	29060	6465
818	29087	6428
819	29114	6391
820	29143	6354
821	29173	6317
822	29197	6279
823	29223	6241
824	29250	6204
825	29278	6167
826	29303	6130
827	29330	6092
828	29358	6055
829	29388	6019
830	29422	5983
831	29445	5945
832	29474	5909
833	29501	5871
834	29526	5834
835	29553	5797
836	29580	5760
837	29608	5723
838	29638	5687
839	29663	5650
840	29689	5613
841	29718	5576
842	29743	5539
843	29770	5502
844	29798	5465
845	29824	5429
846	29858	5393
847	29884	5356
848	29910	5319
849	29941	5283
850	29967	5246
851	29994	5210
852	30023	5173
853	30053	5138
854	30081	5101
855	30106	5064
856	30134	5028
857	30158	4991
858	30184	4954
859	30212	4918
860	30240	4882
861	30272	4846
862	30298	4809
863	30326	4773
864	30354	4737
865	30382	4701
866	30405	4664
867	30430	4627
868	30455	4591
869	30482	4554
870	30512	4519
871	30536	4482
872	30559	4445
873	30585	4409
874	30613	4373
875	30639	4337
876	30667	4301
877	30698	4265
878	30727	4229
879	30753	4193
880	30779	4157
881	30805	4121
882	30830	4085
883	30856	4048
884	30881	4012
885	30909	3977
886	30937	3941
887	30964	3905
888	30987	3869
889	31011	3832
890	31037	3796
891	31064	3761
892	31091	3725
893	31120	3689
894	31149	3654
895	31175	3618
896	31199	3582
897	31224	3546
898	31251	3511
899	31277	3475
900	31300	3439
901	31327	3403
902	31356	3368
903	31391	3333
904	31422	3298
905	31451	3263
906	31478	3227
907	31502	3191
908	31530	3156
909	31556	3120
910	31585	3085
911	31614	3050
912	31646	3015
913	31673	2980
914	31692	2944
915	31723	2909
916	31749	2873
917	31779	2838
918	31813	2803
919	31845	2769
920	31872	2733
921	31898	2698
922	31924	2663
923	31947	2627
924	31974	2592
925	31999	2557
926	32026	2522
927	32063	2487
928	32091	2452
929	32118	2417
930	32143	2382
931	32174	2347
932	32200	2312
933	32227	2277
934	32270	2243
935	32302	2208
936	32330	2173
937	32363	2139
938	32397	2104
939	32424	2069
940	32450	2034
941	32477	1999
942	32508	1964
943	32538	1930
944	32563	1895
945	32588	1860
946	32618	1825
947	32644	1790
948	32671	1755
949	32704	1721
950	32735	1686
951	32758	1651
952	32784	1616
953	32808	1581
954	32833	1547
955	32860	1512
956	32886	1477
957	32914	1442
958	32943	1408
959	32974	1373
960	33003	1339
961	33030	1304
962	33059	1270
963	33093	1235
964	33124	1201
965	33157	1167
966	33188	1132
967	33217	1098
968	33253	1063
969	33287	1029
970	33317	995
971	33344	960
972	33375	926
973	33406	891
